Frame Count,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta,,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta
133,3.046816298,-0.335958811,0.565004924,33.37458416,TRUE,FALSE,0.393310098,,,,,,,,
133,2.574383997,-0.91083247,-1.855070342,33.63685142,FALSE,FALSE,0.6018874,,,,,,,,
,,,,,,,,,,,,,,,
134,3.051618501,-1.772922003,-0.189850896,32.86181636,TRUE,FALSE,0.373112691,,3.052,-1.773,-0.19,32.862,TRUE,FALSE,0.373112691
134,2.458079445,1.139431528,0.967458357,34.56655509,FALSE,FALSE,1.417424235,,,,,,,,
134,2.4350477,1.228708071,0.881420223,34.98011267,FALSE,FALSE,0.444201397,,,,,,,,
134,2.211476724,1.256466857,0.590953769,33.2130084,TRUE,FALSE,0.412452856,,,,,,,,
,,,,,,,,,,,,,,,
135,3.484722495,-1.325067139,0.560583362,32.7716598,TRUE,TRUE,0.356004473,,2.876,-0.253,-0.111,35.901,TRUE,TRUE,0.515121341
135,2.92865639,-2.291111091,0.983048037,35.69576923,FALSE,TRUE,0.615491215,,,,,,,,
135,2.875727546,-0.253203207,-0.111020435,35.90060414,TRUE,TRUE,0.515121341,,,,,,,,
,,,,,,,,,,,,,,,
136,3.015968197,-0.330814079,0.7048711,33.1550657,TRUE,TRUE,0.347212431,,2.94,-0.549,0.71,34.164,TRUE,FALSE,0.27912141
136,2.940395289,-0.54886219,0.709766635,34.16404321,TRUE,FALSE,0.27912141,,,,,,,,
136,2.779300668,1.106496307,0.98710413,33.30354302,TRUE,FALSE,1.566950703,,,,,,,,
,,,,,,,,,,,,,,,
137,2.824013205,-0.568212075,0.493508695,33.92146711,TRUE,FALSE,0.218511562,,2.558,-0.468,-0.029,35.362,FALSE,TRUE,0.37306194
137,2.641322235,-1.174373298,0.938427901,34.9550704,FALSE,FALSE,0.684295319,,,,,,,,
137,2.557726172,-0.467606121,-0.028683358,35.36150774,FALSE,TRUE,0.37306194,,,,,,,,
137,2.555114427,-0.423280905,-0.156006857,35.6966504,TRUE,TRUE,0.397450302,,,,,,,,
137,2.549131318,-1.068822468,0.511602275,36.55741661,TRUE,TRUE,1.135010962,,,,,,,,
137,2.535585337,-1.212538295,0.742674942,36.13103946,FALSE,TRUE,0.314684593,,,,,,,,
137,2.488722773,-1.474464569,0.578229855,37.11728836,TRUE,TRUE,0.457203235,,,,,,,,
,,,,,,,,,,,,,,,
138,2.871302862,-0.407095856,-0.940527205,37.12009502,TRUE,TRUE,0.745595284,,2.455,0.48,0.566,32.905,TRUE,TRUE,0.19850789
138,2.85571565,-0.290450457,-1.101152291,37.54280521,TRUE,TRUE,0.352378555,,,,,,,,
138,2.850435535,-0.100020135,-1.181313555,37.47073479,TRUE,TRUE,0.858546804,,,,,,,,
138,2.777178729,-1.620902381,0.236626953,37.68880868,TRUE,TRUE,0.30145317,,,,,,,,
138,2.757096876,-1.123006004,-0.220995719,37.20188928,TRUE,TRUE,1.396016172,,,,,,,,
138,2.646004787,-0.220802153,0.822319991,34.96715948,FALSE,FALSE,0.38750754,,,,,,,,
138,2.636387406,-0.63805352,0.583015886,35.76526208,FALSE,TRUE,0.75184724,,,,,,,,
138,2.609435927,-0.655893653,0.218134853,36.13670973,TRUE,TRUE,0.845004561,,,,,,,,
138,2.607839964,-0.947419688,0.475874823,36.2412256,TRUE,TRUE,0.560448976,,,,,,,,
138,2.595292982,-0.117178087,-0.028083875,35.91209591,TRUE,TRUE,0.690612264,,,,,,,,
138,2.455095359,0.48036085,0.565870046,32.90469007,TRUE,TRUE,0.19850789,,,,,,,,
138,1.89168605,-1.878890658,1.170557502,32.6023635,TRUE,FALSE,0.59036844,,,,,,,,
,,,,,,,,,,,,,,,
139,2.92619957,0.537514581,1.249207694,32.13802722,TRUE,TRUE,0.186105219,,2.688,-0.255,1.448,35.089,FALSE,TRUE,0.366258598
139,2.884924695,0.382807375,1.484483776,32.69049277,TRUE,FALSE,0.500342569,,,,,,,,
139,2.87816819,0.288187603,1.587388951,32.97541215,TRUE,FALSE,0.444296199,,,,,,,,
139,2.864592372,0.69797691,1.975876436,33.95698375,FALSE,FALSE,1.032385922,,,,,,,,
139,2.687508573,-0.255453577,1.448136499,35.08933397,FALSE,TRUE,0.366258598,,,,,,,,
139,2.089948244,-2.029319064,2.097199483,31.92241418,TRUE,FALSE,0.632487248,,,,,,,,
,,,,,,,,,,,,,,,
140,3.031266717,0.882153476,1.614696879,36.45282189,TRUE,TRUE,0.396455964,,2.593,-0.511,1.111,33.166,TRUE,FALSE,0.645827926
